,name,ins_id,ticker,isin,instrument_type,market,country,sector,branch
0,AAK,2,AAK,SE0011337708,Aktie,Large Cap,Sverige,Dagligvaror,Livsmedel
1,ABB,3,ABB,CH0012221716,Aktie,Large Cap,Sverige,Industri,Industrimaskiner
2,Active Biotech,6,ACTI,SE0001137985,Aktie,Small Cap,Sverige,Hälsovård,Biotech
3,Addnode,7,ANOD B,SE0017885767,Aktie,Large Cap,Sverige,Informationsteknik,IT-Konsulter
4,Addtech,8,ADDT B,SE0014781795,Aktie,Large Cap,Sverige,Industri,Industrikomponenter
5,Alfa Laval,10,ALFA,SE0000695876,Aktie,Large Cap,Sverige,Industri,Industrikomponenter
6,Anoto,13,ANOT,SE0010415281,Aktie,Small Cap,Sverige,Informationsteknik,Elektronisk Utrustning
7,Arise Windpower,14,ARISE,SE0002095604,Aktie,Mid Cap,Sverige,Kraftförsörjning,Vindkraft
8,Assa Abloy,17,ASSA B,SE0007100581,Aktie,Large Cap,Sverige,Industri,Byggmaterial
9,AstraZeneca,18,AZN,GB0009895292,Aktie,Large Cap,Sverige,Hälsovård,Läkemedel
10,Atlas Copco A,19,ATCO A,SE0017486889,Aktie,Large Cap,Sverige,Industri,Industrimaskiner
11,Atrium Ljungberg,20,ATRLJ B,SE0000191827,Aktie,Large Cap,Sverige,Finans & Fastighet,Fastighetsbolag
12,Autoliv,21,ALIV SDB,SE0000382335,Aktie,Large Cap,Sverige,Sällanköpsvaror,Bil & Motor
13,Avanza Bank,22,AZA,SE0012454072,Aktie,Large Cap,Sverige,Finans & Fastighet,Nischbanker
14,Axfood,24,AXFO,SE0006993770,Aktie,Large Cap,Sverige,Dagligvaror,Livsmedelsbutiker
15,Bergman & Beving,26,BERG B,SE0000101362,Aktie,Mid Cap,Sverige,Industri,Industrikomponenter
16,BE Group,27,BEGR,SE0008321921,Aktie,Small Cap,Sverige,Industri,Industrikomponenter
17,Beijer Ref,28,BEIJ B,SE0015949748,Aktie,Large Cap,Sverige,Industri,Installation & VVS
18,Beijer Alma,29,BEIA B,SE0011090547,Aktie,Mid Cap,Sverige,Industri,Industrikomponenter
19,Ependion,30,EPEN,SE0000671711,Aktie,Mid Cap,Sverige,Informationsteknik,Datorer & Hårdvara
20,Bergs Timber,31,BRG B,SE0018012932,Aktie,Small Cap,Sverige,Material,Skogsbolag
21,Betsson,32,BETS B,SE0019892167,Aktie,Mid Cap,Sverige,Sällanköpsvaror,Betting & Casino
22,Bilia,33,BILI A,SE0009921588,Aktie,Large Cap,Sverige,Sällanköpsvaror,Bil & Motor
23,Billerud,34,BILL,SE0000862997,Aktie,Large Cap,Sverige,Material,Skogsbolag
24,BioGaia,35,BIOG B,SE0017769995,Aktie,Mid Cap,Sverige,Dagligvaror,Hälsoprodukter
25,Bioinvent,36,BINV,SE0015244520,Aktie,Mid Cap,Sverige,Hälsovård,Biotech
26,Biotage,37,BIOT,SE0000454746,Aktie,Large Cap,Sverige,Hälsovård,Medicinsk Utrustning
27,Björn Borg,38,BORG,SE0020050805,Aktie,Small Cap,Sverige,Sällanköpsvaror,Kläder & Skor
28,Boliden,40,BOL,SE0020050417,Aktie,Large Cap,Sverige,Material,Gruv - Industrimetaller
29,Bong Ljungdahl,41,BONG,SE0000396061,Aktie,Small Cap,Sverige,Material,Förpackning
30,Brinova Fastigheter,42,BRIN B,SE0008347652,Aktie,Mid Cap,Sverige,Finans & Fastighet,Fastighetsbolag
31,BTS Group,43,BTS B,SE0000805426,Aktie,Mid Cap,Sverige,Industri,Affärskonsulter
32,Bure Equity,44,BURE,SE0000195810,Aktie,Large Cap,Sverige,Finans & Fastighet,Investmentbolag
33,Byggmax,45,BMAX,SE0003303627,Aktie,Mid Cap,Sverige,Sällanköpsvaror,Detaljhandel
34,Castellum,46,CAST,SE0000379190,Aktie,Large Cap,Sverige,Finans & Fastighet,Fastighetsbolag
35,Catena,47,CATE,SE0001664707,Aktie,Large Cap,Sverige,Finans & Fastighet,Fastighetsbolag
36,Nelly Group,48,NELLY,SE0015245535,Aktie,Small Cap,Sverige,Sällanköpsvaror,Kläder & Skor
37,CellaVision,49,CEVI,SE0000683484,Aktie,Mid Cap,Sverige,Hälsovård,Medicinsk Utrustning
38,Clas Ohlson,51,CLAS B,SE0000584948,Aktie,Mid Cap,Sverige,Sällanköpsvaror,Detaljhandel
39,Cloetta,52,CLA B,SE0002626861,Aktie,Mid Cap,Sverige,Dagligvaror,Livsmedel
40,Concordia Maritime,54,CCOR B,SE0000102824,Aktie,Small Cap,Sverige,Energi,Olja & Gas - Transport
41,Concejo B,56,CNCJO B,SE0000236382,Aktie,Small Cap,Sverige,Informationsteknik,Säkerhet & Bevakning
42,Corem Property A,57,CORE A,SE0010714279,Aktie,Large Cap,Sverige,Finans & Fastighet,Fastighetsbolag
43,CTT Systems,58,CTT,SE0000418923,Aktie,Mid Cap,Sverige,Industri,Installation & VVS
44,Diamyd Medical,62,DMYD B,SE0005162880,Aktie,First North,Sverige,Hälsovård,Biotech
45,Diös Fastigheter,63,DIOS,SE0001634262,Aktie,Large Cap,Sverige,Finans & Fastighet,Fastighetsbolag
46,Doro,64,DORO,SE0000215493,Aktie,Small Cap,Sverige,Sällanköpsvaror,Hemelektronik
47,Duni,65,DUNI,SE0000616716,Aktie,Mid Cap,Sverige,Dagligvaror,Hygienprodukter
48,Duroc,66,DURC B,SE0000331266,Aktie,Small Cap,Sverige,Industri,Industrikomponenter
49,Eastnine,67,EAST,SE0002158568,Aktie,Mid Cap,Sverige,Finans & Fastighet,Fastighetsbolag
50,Elanders,68,ELAN B,SE0000119299,Aktie,Mid Cap,Sverige,Sällanköpsvaror,Media & Publicering
51,Elon,69,ELON,SE0001572520,Aktie,Small Cap,Sverige,Sällanköpsvaror,Hemelektronik
